,date,unemployment
199,1970-10-31,327000.0
200,1970-11-07,336000.0
201,1970-11-14,314000.0
202,1970-11-21,314000.0
203,1970-11-28,337000.0
204,1970-12-05,308000.0
205,1970-12-12,306000.0
206,1970-12-19,289000.0
207,1970-12-26,321000.0
208,1971-01-02,303000.0
209,1971-01-09,288000.0
210,1971-01-16,299000.0
211,1971-01-23,312000.0
212,1971-01-30,292000.0
213,1971-02-06,296000.0
214,1971-02-13,282000.0
215,1971-02-20,268000.0
216,1971-02-27,290000.0
217,1971-03-06,297000.0
218,1971-03-13,287000.0
219,1971-03-20,291000.0
220,1971-03-27,300000.0
221,1971-04-03,299000.0
222,1971-04-10,279000.0
223,1971-04-17,284000.0
224,1971-04-24,288000.0
225,1971-05-01,290000.0
226,1971-05-08,293000.0
227,1971-05-15,284000.0
228,1971-05-22,295000.0
229,1971-05-29,299000.0
230,1971-06-05,301000.0
231,1971-06-12,295000.0
232,1971-06-19,299000.0
233,1971-06-26,291000.0
234,1971-07-03,277000.0
235,1971-07-10,264000.0
236,1971-07-17,313000.0
237,1971-07-24,304000.0
238,1971-07-31,308000.0
239,1971-08-07,349000.0
240,1971-08-14,325000.0
241,1971-08-21,320000.0
242,1971-08-28,307000.0
243,1971-09-04,359000.0
244,1971-09-11,312000.0
245,1971-09-18,302000.0
246,1971-09-25,308000.0
247,1971-10-02,299000.0
248,1971-10-09,313000.0
249,1971-10-16,299000.0
250,1971-10-23,294000.0
251,1971-10-30,283000.0
252,1971-11-06,301000.0
253,1971-11-13,295000.0
254,1971-11-20,274000.0
255,1971-11-27,278000.0
256,1971-12-04,299000.0
257,1971-12-11,280000.0
258,1971-12-18,269000.0
259,1971-12-25,244000.0
260,1972-01-01,279000.0
261,1972-01-08,295000.0
262,1972-01-15,250000.0
263,1972-01-22,263000.0
264,1972-01-29,269000.0
265,1972-02-05,276000.0
266,1972-02-12,266000.0
267,1972-02-19,258000.0
268,1972-02-26,254000.0
269,1972-03-04,257000.0
270,1972-03-11,264000.0
271,1972-03-18,266000.0
272,1972-03-25,264000.0
273,1972-04-01,258000.0
274,1972-04-08,274000.0
275,1972-04-15,259000.0
276,1972-04-22,259000.0
277,1972-04-29,265000.0
278,1972-05-06,271000.0
279,1972-05-13,266000.0
280,1972-05-20,267000.0
281,1972-05-27,267000.0
282,1972-06-03,264000.0
283,1972-06-10,268000.0
284,1972-06-17,275000.0
285,1972-06-24,286000.0
286,1972-07-01,350000.0
287,1972-07-08,297000.0
288,1972-07-15,318000.0
289,1972-07-22,276000.0
290,1972-07-29,247000.0
291,1972-08-05,250000.0
292,1972-08-12,246000.0
293,1972-08-19,256000.0
294,1972-08-26,262000.0
295,1972-09-02,258000.0
296,1972-09-09,259000.0
297,1972-09-16,258000.0
298,1972-09-23,255000.0
299,1972-09-30,251000.0
300,1972-10-07,263000.0
301,1972-10-14,250000.0
302,1972-10-21,257000.0
303,1972-10-28,234000.0
304,1972-11-04,255000.0
305,1972-11-11,242000.0
306,1972-11-18,271000.0
307,1972-11-25,235000.0
308,1972-12-02,226000.0
309,1972-12-09,252000.0
310,1972-12-16,263000.0
311,1972-12-23,246000.0
312,1972-12-30,225000.0
313,1973-01-06,226000.0
314,1973-01-13,245000.0
315,1973-01-20,229000.0
316,1973-01-27,214000.0
317,1973-02-03,228000.0
318,1973-02-10,226000.0
319,1973-02-17,216000.0
320,1973-02-24,218000.0
321,1973-03-03,225000.0
322,1973-03-10,229000.0
323,1973-03-17,228000.0
324,1973-03-24,232000.0
325,1973-03-31,222000.0
326,1973-04-07,247000.0
327,1973-04-14,230000.0
328,1973-04-21,243000.0
329,1973-04-28,236000.0
330,1973-05-05,248000.0
331,1973-05-12,238000.0
332,1973-05-19,237000.0
333,1973-05-26,238000.0
334,1973-06-02,232000.0
335,1973-06-09,246000.0
336,1973-06-16,237000.0
337,1973-06-23,242000.0
338,1973-06-30,237000.0
339,1973-07-07,248000.0
340,1973-07-14,232000.0
341,1973-07-21,241000.0
342,1973-07-28,250000.0
343,1973-08-04,256000.0
344,1973-08-11,265000.0
345,1973-08-18,258000.0
346,1973-08-25,254000.0
347,1973-09-01,242000.0
348,1973-09-08,252000.0
349,1973-09-15,245000.0
350,1973-09-22,246000.0
351,1973-09-29,249000.0
352,1973-10-06,236000.0
353,1973-10-13,246000.0
354,1973-10-20,249000.0
355,1973-10-27,235000.0
356,1973-11-03,246000.0
357,1973-11-10,282000.0
358,1973-11-17,254000.0
359,1973-11-24,233000.0
360,1973-12-01,256000.0
361,1973-12-08,266000.0
362,1973-12-15,272000.0
363,1973-12-22,326000.0
364,1973-12-29,300000.0
365,1974-01-05,269000.0
366,1974-01-12,340000.0
367,1974-01-19,321000.0
368,1974-01-26,291000.0
369,1974-02-02,302000.0
370,1974-02-09,369000.0
371,1974-02-16,311000.0
372,1974-02-23,292000.0
373,1974-03-02,301000.0
374,1974-03-09,305000.0
375,1974-03-16,315000.0
376,1974-03-23,314000.0
377,1974-03-30,323000.0
378,1974-04-06,296000.0
379,1974-04-13,297000.0
380,1974-04-20,296000.0
381,1974-04-27,283000.0
382,1974-05-04,287000.0
383,1974-05-11,296000.0
384,1974-05-18,298000.0
385,1974-05-25,309000.0
386,1974-06-01,278000.0
387,1974-06-08,314000.0
388,1974-06-15,303000.0
389,1974-06-22,308000.0
390,1974-06-29,325000.0
391,1974-07-06,311000.0
392,1974-07-13,304000.0
393,1974-07-20,303000.0
394,1974-07-27,320000.0
395,1974-08-03,335000.0
396,1974-08-10,347000.0
397,1974-08-17,332000.0
398,1974-08-24,343000.0
399,1974-08-31,350000.0
400,1974-09-07,350000.0
401,1974-09-14,357000.0
402,1974-09-21,370000.0
403,1974-09-28,366000.0
404,1974-10-05,371000.0
405,1974-10-12,413000.0
406,1974-10-19,389000.0
