,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,bezos_bucks,bezos_year,bezos_week
0,2020-01-02T00:00:00.000Z,1898.01,1898.01,1864.15,1875.0,4035910,1898.01,1898.01,1864.15,1875.0,4035910,0.0,1.0,105863405760.0,0.0,0.0
1,2020-01-03T00:00:00.000Z,1874.97,1886.2,1864.5,1864.5,3766604,1874.97,1886.2,1864.5,1864.5,3766604,0.0,1.0,104578326720.0,-1285079039.999998,-1285079039.999998
2,2020-01-06T00:00:00.000Z,1902.88,1903.69,1860.0,1860.0,4065698,1902.88,1903.69,1860.0,1860.0,4065698,0.0,1.0,106135034880.00002,271629120.00000656,271629120.00000656
3,2020-01-07T00:00:00.000Z,1906.86,1913.89,1892.04,1904.5,4134010,1906.86,1913.89,1892.04,1904.5,4134010,0.0,1.0,106357023359.99998,493617599.999995,493617599.999995
4,2020-01-08T00:00:00.000Z,1891.97,1911.0,1886.44,1898.04,3511966,1891.97,1911.0,1886.44,1898.04,3511966,0.0,1.0,105526518720.0,-336887039.999998,-336887039.999998
5,2020-01-09T00:00:00.000Z,1901.05,1917.82,1895.8,1909.89,3174962,1901.05,1917.82,1895.8,1909.89,3174962,0.0,1.0,106032964800.0,169559039.99999797,169559039.99999797
6,2020-01-10T00:00:00.000Z,1883.16,1906.94,1880.0,1905.37,2856959,1883.16,1906.94,1880.0,1905.37,2856959,0.0,1.0,105035132160.0,-828273599.999995,-828273599.999995
7,2020-01-13T00:00:00.000Z,1891.3,1898.0,1880.8,1891.31,2753903,1891.3,1898.0,1880.8,1891.31,2753903,0.0,1.0,105489148800.0,-374256960.000002,910822079.999996
8,2020-01-14T00:00:00.000Z,1869.44,1887.11,1858.55,1885.88,3446381,1869.44,1887.11,1858.55,1885.88,3446381,0.0,1.0,104269885440.0,-1593520319.9999964,-1865149440.0000033
9,2020-01-15T00:00:00.000Z,1862.02,1878.86,1855.09,1872.25,2896592,1862.02,1878.86,1855.09,1872.25,2896592,0.0,1.0,103856027520.0,-2007378240.0000005,-2500995839.999995
10,2020-01-16T00:00:00.000Z,1877.94,1885.59,1866.02,1882.99,2659493,1877.94,1885.59,1866.02,1882.99,2659493,0.0,1.0,104743981440.0,-1119424319.9999964,-782537279.9999985
11,2020-01-17T00:00:00.000Z,1864.72,1886.64,1857.25,1885.89,3997340,1864.72,1886.64,1857.25,1885.89,3997340,0.0,1.0,104006622720.0,-1856783039.999998,-2026342079.9999962
12,2020-01-21T00:00:00.000Z,1892.0,1894.27,1860.0,1865.0,3643771,1892.0,1894.27,1860.0,1865.0,3643771,0.0,1.0,105528192000.0,-335213759.9999995,493059839.9999955
13,2020-01-22T00:00:00.000Z,1887.46,1902.5,1883.34,1896.09,3216257,1887.46,1902.5,1883.34,1896.09,3216257,0.0,1.0,105274968960.00002,-588436799.9999975,-214179839.99999544
14,2020-01-23T00:00:00.000Z,1884.58,1889.97,1872.76,1885.11,2484613,1884.58,1889.97,1872.76,1885.11,2484613,0.0,1.0,105114334080.0,-749071680.0000037,844448639.999993
15,2020-01-24T00:00:00.000Z,1861.64,1894.99,1847.44,1891.37,3766181,1861.64,1894.99,1847.44,1891.37,3766181,0.0,1.0,103834832640.00002,-2028573119.9999936,-21194879.999993406
16,2020-01-27T00:00:00.000Z,1828.34,1841.0,1815.34,1820.0,3528509,1828.34,1841.0,1815.34,1820.0,3528509,0.0,1.0,101977491840.0,-3885913920.0000033,-2766489600.0000076
17,2020-01-28T00:00:00.000Z,1853.25,1858.11,1830.02,1840.5,2808040,1853.25,1858.11,1830.02,1840.5,2808040,0.0,1.0,103366872000.0,-2496533759.9999995,-639750720.0000017
18,2020-01-29T00:00:00.000Z,1858.0,1874.75,1855.02,1864.0,2101390,1858.0,1874.75,1855.02,1864.0,2101390,0.0,1.0,103631808000.0,-2231597759.9999995,-1896384000.0
19,2020-01-30T00:00:00.000Z,1870.68,1872.87,1850.61,1858.0,6327438,1870.68,1872.87,1850.61,1858.0,6327438,0.0,1.0,104339047680.0,-1524358079.999996,-935921279.9999985
20,2020-01-31T00:00:00.000Z,2008.72,2055.72,2002.27,2051.47,15567283,2008.72,2055.72,2002.27,2051.47,15567283,0.0,1.0,112038366720.0,6174960960.000002,6924032640.000006
